"","Prefix","ConceptScheme","URI","Title","Languages"
"1","ACL 2018","acl2018","http://data.europa.eu/b8y/timeuse2018/acl2018","Activity coding list for harmonised European time use surveys, 2018 (ACL 2018)","en"
"2","CBF","cbf","http://data.europa.eu/38u/cbf1.0/cbf","Classification of Business Functions (CBF)","en"
"3","CEP","cep","http://data.europa.eu/4k9/cep/cep","Classification of Environmental Purposes (CEP)","en"
"4","CEPA 2000","cepa2000","http://data.europa.eu/o5i/cepa2000/cepa2000","Classification of Environmental Protection Activities 2000 (CEPA 2000)","bg, cs, da, de, el, en, es, et, fi, fr, ga, hr, hu, it, lt, lv, mt, nl, pl, pt, ro, sk, sl, sv"
"5","CN 2017","cn2017","http://data.europa.eu/xsp/cn2017/cn2017","Combined Nomenclature, 2017 (CN 2017)","bg, cs, da, de, el, en, es, et, fi, fr, hr, hu, it, lt, lv, mt, nl, pl, pt, ro, sk, sl, sv"
"6","CN 2018","cn2018","http://data.europa.eu/xsp/cn2018/cn2018","Combined Nomenclature, 2018 (CN 2018)","bg, cs, da, de, el, en, es, et, fi, fr, hr, hu, it, lt, lv, mt, nl, pl, pt, ro, sk, sl, sv"
"7","CN 2019","cn2019","http://data.europa.eu/xsp/cn2019/cn2019","Combined Nomenclature, 2019 (CN 2019)","bg, cs, da, de, el, en, es, et, fi, fr, hr, hu, it, lt, lv, mt, nl, pl, pt, ro, sk, sl, sv"
"8","CN 2020","cn2020","http://data.europa.eu/xsp/cn2020/cn2020","Combined Nomenclature, 2020 (CN 2020)","bg, cs, da, de, el, en, es, et, fi, fr, hr, hu, it, lt, lv, mt, nl, pl, pt, ro, sk, sl, sv"
"9","CN 2021","cn2021","http://data.europa.eu/xsp/cn2021/cn2021","Combined Nomenclature, 2021 (CN 2021)","bg, cs, da, de, el, en, es, et, fi, fr, hr, hu, it, lt, lv, mt, nl, pl, pt, ro, sk, sl, sv"
"10","CN 2022","cn2022","http://data.europa.eu/xsp/cn2022/cn2022","Combined Nomenclature, 2022 (CN 2022)","bg, cs, da, de, el, en, es, et, fi, fr, ga, hr, hu, it, lt, lv, mt, nl, pl, pt, ro, sk, sl, sv"
"11","CN 2023","cn2023","http://data.europa.eu/xsp/cn2023/cn2023","Combined Nomenclature, 2023 (CN 2023)","bg, cs, da, de, el, en, es, et, fi, fr, ga, hr, hu, it, lt, lv, mt, nl, pl, pt, ro, sk, sl, sv"
"12","CN 2024","cn2024","http://data.europa.eu/xsp/cn2024/cn2024","Combined Nomenclature, 2024 (CN 2024)","bg, cs, da, de, el, en, es, et, fi, fr, ga, hr, hu, it, lt, lv, mt, nl, pl, pt, ro, sk, sl, sv"
"13","CN 2025","cn2025","http://data.europa.eu/xsp/cn2025/cn2025","Combined Nomenclature, 2025 (CN 2025)","bg, cs, da, de, el, en, es, et, fi, fr, ga, hr, hu, it, lt, lv, mt, nl, pl, pt, ro, sk, sl, sv"
"14","CN 2026","cn2026","http://data.europa.eu/xsp/cn2026/cn2026","Combined Nomenclature, 2026 (CN 2026)","bg, cs, da, de, el, en, es, et, fi, fr, ga, hr, hu, it, lt, lv, mt, nl, pl, pt, ro, sk, sl, sv"
"15","CPA 21","cpa21","http://data.europa.eu/ehl/cpa21/cpa21","Statistical classification of products by activity, 2.1 (CPA 2.1)","bg, cs, da, de, el, en, es, et, fi, fr, hr, hu, it, lt, lv, mt, nl, pl, pt, ro, sk, sl, sv"
"16","CPA 22","cpa22","http://data.europa.eu/ehl/cpa22/cpa22","Statistical classification of products by activity, 2.2 (CPA 2.2)","bg, cs, da, de, el, en, es, et, fi, fr, ga, hr, hu, it, lt, lv, mt, nl, pl, pt, ro, sk, sl, sv"
"17","CPA 2008","cpa2008","http://data.europa.eu/ehl/cpa2008/cpa2008","Statistical classification of products by activity, 2008 (CPA 2008)","bg, cs, da, de, el, en, es, et, fi, fr, ga, hr, hu, it, lt, lv, mt, nl, no, pl, pt, ro, ru, sk, sl, sv, tr"
"18","CReMA 2008","crema2008","http://data.europa.eu/o5i/crema2008/crema2008","Classification of Resource Management Activities, 2008 (CReMA 2008)","bg, cs, da, de, el, en, es, et, fi, fr, ga, hr, hu, it, lt, lv, mt, nl, pl, pt, ro, sk, sl, sv"
"19","EBS","ebs","http://data.europa.eu/9jo/statmanuals/ebs","European Business Statistics Manuals (EBS)","en"
"20","ECOICOP 1","ecoicop","http://data.europa.eu/ed1/ecoicop/ecoicop","European Classification of Individual Consumption according to Purpose, version 1 (ECOICOP 1)","bg, cs, da, de, el, en, es, et, fi, fr, ga, hr, hu, it, lt, lv, mt, nl, pl, pt, ro, sk, sl, sv"
"21","ECOICOP 2","ecoicop2","http://data.europa.eu/ed1/ecoicop2/ecoicop2","EUROPEAN CLASSIFICATION OF INDIVIDUAL CONSUMPTION ACCORDING TO PURPOSE, version 2 (ECOICOP 2)","bg, cs, da, de, el, en, es, et, fi, fr, ga, hr, hu, it, lt, lv, mt, nl, pl, pt, ro, sk, sl, sv"
"22","ECOICOP-HICP","ecoicophicp","http://data.europa.eu/ed1/ecoicop/ecoicop-hicp","European classification of individual consumption according to purpose adapted to the needs of the Harmonised Indices of Consumer Prices (ECOICOP-HICP)","bg, cs, da, de, el, en, es, et, fi, fr, ga, hr, hu, it, lt, lv, mt, nl, pl, pt, ro, sk, sl, sv"
"23","ESA 2010 S","esa2010s","http://data.europa.eu/x3b/esa2010s/esa2010s","Classification of institutional sectors (ESA 2010 S)","en"
"24","ESS Quality Glossary","quality","http://data.europa.eu/vjg/qglossary/quality","ESS Quality Glossary","en"
"25","ESTAT CLASS SERIES","series","http://data.europa.eu/2en/class-series/series","European statistical classification series","de, en, fr"
"26","ESeG 2016","eseg2016","http://data.europa.eu/57r/eseg2016/eseg2016","European Socio-economic Groups (ESeG 2016)","en"
"27","EWC-Stat 4","scheme","http://data.europa.eu/6p8/ewc4-stat/scheme","European Waste Classification for Statistics (EWC-Stat Rev. 4)","bg, cs, da, de, el, en, es, et, fi, fr, hr, hu, it, lt, lv, mt, nl, pl, pt, ro, sk, sl, sv"
"28","FSS","fss","http://data.europa.eu/kx8/fss_2010-16/fss","Farm Structure Survey (FSS 2010 2016)","en"
"29","FSS","fss","http://data.europa.eu/kx8/fss_2005-07/fss","Farm Structure Survey (FSS 2005 2007)","en"
"30","GEONOM","geonom","http://data.europa.eu/4j8/geonom/geonom","NOMENCLATURE OF COUNTRIES AND TERRITORIES FOR THE EUROPEAN STATISTICS ON INTERNATIONAL TRADE IN GOODS (GEONOM)","bg, cs, da, de, el, en, es, et, fi, fr, hr, hu, it, lt, lv, mt, nl, pl, pt, ro, sk, sl, sv"
"31","GEONOM 2021","geonom2021","http://data.europa.eu/4j8/geonom/geonom2021","NOMENCLATURE OF COUNTRIES AND TERRITORIES FOR THE EUROPEAN STATISTICS ON INTERNATIONAL TRADE IN GOODS (GEONOM 2021)","bg, cs, da, de, el, en, es, et, fi, fr, hr, hu, it, lt, lv, mt, nl, pl, pt, ro, sk, sl, sv"
"32","GEONOM 2022","geonom2022","http://data.europa.eu/4j8/geonom/geonom2022","NOMENCLATURE OF COUNTRIES AND TERRITORIES FOR THE EUROPEAN STATISTICS ON INTERNATIONAL TRADE IN GOODS (GEONOM 2022)","bg, cs, da, de, el, en, es, et, fi, fr, hr, hu, it, lt, lv, mt, nl, pl, pt, ro, sk, sl, sv"
"33","GEONOM 2023","geonom2023","http://data.europa.eu/4j8/geonom/geonom2023","NOMENCLATURE OF COUNTRIES AND TERRITORIES FOR THE EUROPEAN STATISTICS ON INTERNATIONAL TRADE IN GOODS (GEONOM 2023)","bg, cs, da, de, el, en, es, et, fi, fr, hr, hu, it, lt, lv, mt, nl, pl, pt, ro, sk, sl, sv"
"34","GEONOM 2024","geonom2024","http://data.europa.eu/4j8/geonom/geonom2024","NOMENCLATURE OF COUNTRIES AND TERRITORIES FOR THE EUROPEAN STATISTICS ON INTERNATIONAL TRADE IN GOODS (GEONOM 2024)","bg, cs, da, de, el, en, es, et, fi, fr, hr, hu, it, lt, lv, mt, nl, pl, pt, ro, sk, sl, sv"
"35","GEONOM 2025","geonom2025","http://data.europa.eu/4j8/geonom/geonom2025","NOMENCLATURE OF COUNTRIES AND TERRITORIES FOR THE EUROPEAN STATISTICS ON INTERNATIONAL TRADE IN GOODS (GEONOM 2025)","bg, cs, da, de, el, en, es, et, fi, fr, hr, hu, it, lt, lv, mt, nl, pl, pt, ro, sk, sl, sv"
"36","ICST-COM 2009","icst","http://data.europa.eu/z1e/icstcom2009/icst","International Classification of Ship by Type (ICST-COM)","bg, cs, da, de, el, en, es, et, fi, fr, hr, hu, it, lt, lv, mt, nl, pl, pt, ro, sk, sl, sv"
"37","IFS2020","ifs2020","http://data.europa.eu/3t3/agriprod/ifs2020","Integrated Farm Statistics (IFS2020 Core)","de, en, fr"
"38","LUCAS SU FT","lucas_ft","http://data.europa.eu/oxm/lucas2022/lucas_ft","LUCAS Survey Forest types (LUCAS SU FT)","en"
"39","LUCAS SU LC","lucas_lc","http://data.europa.eu/oxm/lucas2022/lucas_lc","LUCAS Survey Land Cover Classification (LUCAS SU LC)","en"
"40","LUCAS SU LC + LU + FT","lucas","http://data.europa.eu/oxm/lucas2022/lucas","LUCAS Classification 2022 (LUCAS SU LC + LU + FT)","en"
"41","LUCAS SU LF","lucas_lf","http://data.europa.eu/oxm/lucas2022/lucas_lf","LUCAS Survey Linear Features (LUCAS SU LF)","en"
"42","LUCAS SU LU","lucas_lu","http://data.europa.eu/oxm/lucas2022/lucas_lu","LUCAS Survey Land Use Classification (LUCAS SU LU)","en"
"43","LUCAS SU WF","lucas_wf","http://data.europa.eu/oxm/lucas2022/lucas_wf","LUCAS Survey Water Features (LUCAS SU WF)","en"
"44","LoW 2015","scheme","http://data.europa.eu/6p8/low2015/scheme","European List of Wastes, 2015 (LoW 2015)","bg, cs, da, de, el, en, es, et, fi, fr, hr, hu, it, lt, lv, mt, nl, pl, pt, ro, sk, sl, sv"
"45","NABS 2007","nabs2007","http://data.europa.eu/u7a/nabs2007/nabs2007","Nomenclature for the analysis and comparison of scientific programmes and budgets (NABS 2007)","de, en, fr"
"46","NACE 2","nace2","http://data.europa.eu/ux2/nace2/nace2","Statistical Classification of Economic Activities in the European Community, Rev. 2 (NACE Rev. 2)","bg, cs, da, de, el, en, es, et, fi, fr, hr, hu, it, lt, lv, mt, nl, no, pl, pt, ro, ru, sk, sl, sv, tr"
"47","NACE 21","nace2.1","http://data.europa.eu/ux2/nace2.1/nace2.1","Statistical Classification of Economic Activities in the European Community, Rev. 2.1 (NACE Rev. 2.1)","bg, cs, da, de, el, en, es, et, fi, fr, ga, hr, hu, it, lt, lv, mt, nl, pl, pt, ro, sk, sl, sv"
"48","NST 2007","nst2007","http://data.europa.eu/1j7/nst2007/nst2007","Standard goods classification for transport statistics (NST 2007)","bg, cs, da, de, el, en, es, et, fi, fr, hu, it, lt, lv, mt, nl, pl, pt, ro, sk, sl, sv"
"49","PRODCOM 2019-2020","prodcom2019","http://data.europa.eu/qw1/prodcom2019/prodcom2019","PRODCOM List 2019-2020","bg, cs, da, de, el, en, es, et, fi, fr, hr, hu, it, lt, lv, mt, nl, pl, pt, ro, sk, sl, sv"
"50","PRODCOM 2021","prodcom2021","http://data.europa.eu/qw1/prodcom2021/prodcom2021","PRODCOM List 2021","bg, cs, da, de, el, en, es, et, fi, fr, hr, hu, it, lt, lv, mt, nl, pl, pt, ro, sk, sl, sv"
"51","PRODCOM 2022","prodcom2022","http://data.europa.eu/qw1/prodcom2022/prodcom2022","PRODCOM List 2022","bg, cs, da, de, el, en, es, et, fi, fr, ga, hr, hu, it, lt, lv, mt, nl, pl, pt, ro, sk, sl, sv"
"52","PRODCOM 2023","prodcom2023","http://data.europa.eu/qw1/prodcom2023/prodcom2023","PRODCOM List 2023","bg, cs, da, de, el, en, es, et, fi, fr, ga, hr, hu, it, lt, lv, mt, nl, pl, pt, ro, sk, sl, sv"
"53","PRODCOM 2024","prodcom2024","http://data.europa.eu/qw1/prodcom2024/prodcom2024","PRODCOM List 2024","bg, cs, da, de, el, en, es, et, fi, fr, ga, hr, hu, it, lt, lv, mt, nl, pl, pt, ro, sk, sl, sv"
"54","PRODCOM 2025","prodcom2025","http://data.europa.eu/qw1/prodcom2025/prodcom2025","PRODCOM List 2025","en"
"55","PRODCOM PRODTYPE","prodtype","http://data.europa.eu/gzn/prodtypes/prodtype","Production type","de, en, fr"
"56","STAT_ACRO_ABBR","scheme","http://data.europa.eu/83i/aa/scheme","Statistical abbreviations and acronyms","en"
"57","SU","SU","http://data.europa.eu/gzn/su/SU","Supplementary Units","bg, cs, da, de, el, en, es, et, fi, fr, ga, hr, hu, it, lt, lv, mt, nl, pl, pt, ro, sk, sl, sv"
"58","Tercet","tercet","http://data.europa.eu/q8e/tercet/tercet","territorial typologies (Tercet)","en"
"59","Tercet DEGURBA","degurba","http://data.europa.eu/q8e/tercet/degurba","degree of urbanisation (DEGURBA)","en"
"60","Tercet border","border","http://data.europa.eu/q8e/tercet/border","border typology","en"
"61","Tercet coastal areas","coastalArea","http://data.europa.eu/q8e/tercet/coastalArea","coastal areas typology","en"
"62","Tercet coastal regions","coastalRegion","http://data.europa.eu/q8e/tercet/coastalRegion","coastal regions typology","en"
"63","Tercet island","island","http://data.europa.eu/q8e/tercet/island","island typology","en"
"64","Tercet metropolitan","metro","http://data.europa.eu/q8e/tercet/metro","metropolitan typology","en"
"65","Tercet mountain","mountain","http://data.europa.eu/q8e/tercet/mountain","mountain typology","en"
"66","Tercet urban-rural","urbanRural","http://data.europa.eu/q8e/tercet/urbanRural","urban-rural typology","en"
"67","Waste","scheme","http://data.europa.eu/6p8/waste/scheme","Waste categories","bg, cs, da, de, el, en, es, et, fi, fr, hr, hu, it, lt, lv, mt, nl, pl, pt, ro, sk, sl, sv"
"68","cc","cc","http://data.europa.eu/4j8/geonom/cc","GEONOM Country codes","bg, cs, da, de, el, en, es, et, fi, fr, hr, hu, it, lt, lv, mt, nl, pl, pt, ro, sk, sl, sv"
"69","mc","mc","http://data.europa.eu/4j8/geonom/mc","GEONOM Miscellaneous codes","bg, cs, da, de, el, en, es, et, fi, fr, hr, hu, it, lt, lv, mt, nl, pl, pt, ro, sk, sl, sv"
